,level_0,station,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,week,dayofweek
37,37,1,2007-06-07,91,71,81,15,62,69,0,16,417,1924, ,0.00,28.84,29.55,22.7,20,23.1,2007,6,23,3
38,38,1,2007-06-08,81,57,69,3,53,61,0,4,417,1925, ,0.00,29.18,29.85,10.9,28,13.8,2007,6,23,4
39,39,1,2007-06-09,79,52,66,0,47,57,0,1,416,1925, ,0.00,29.36,30.07,0.3,33,5.0,2007,6,23,5
40,40,1,2007-06-10,81,55,68,1,51,59,0,3,416,1926, ,0.00,29.34,30.05,4.8,17,5.6,2007,6,23,6
41,41,1,2007-06-11,86,58,72,5,52,61,0,7,416,1926, ,0.00,29.41,30.11,4.9,11,6.9,2007,6,24,0
42,42,1,2007-06-12,83,62,73,5,50,60,0,8,416,1927, ,0.00,29.44,30.16,8.3,5,8.8,2007,6,24,1
43,43,1,2007-06-13,87,60,74,6,53,62,0,9,416,1927, ,0.00,29.36,30.09,7.2,5,8.6,2007,6,24,2
44,44,1,2007-06-14,89,64,77,9,55,64,0,12,416,1928, ,0.00,29.3,30.02,5.6,5,6.8,2007,6,24,3
45,45,1,2007-06-15,91,63,77,9,56,64,0,12,416,1928, ,0.00,29.28,29.99,4.1,6,4.9,2007,6,24,4
46,46,1,2007-06-16,93,66,80,11,60,67,0,15,416,1929,RA HZ, 0.00,29.26,29.97,4.8,28,5.8,2007,6,24,5
47,47,1,2007-06-17,91,70,81,12,64,70,0,16,416,1929,HZ,0.00,29.23,29.95,2.8,11,6.3,2007,6,24,6
48,48,1,2007-06-18,89,69,79,9,65,70,0,14,416,1929,TSRA RA HZ,0.28,29.12,29.84,14.0,20,15.1,2007,6,25,0
49,49,1,2007-06-19,80,65,73,3,55,63,0,8,416,1930,RA,0.58,29.26,29.95,10.7,28,11.4,2007,6,25,1
50,50,1,2007-06-20,84,61,73,3,52,61,0,8,416,1930, ,0.00,29.39,30.1,7.8,27,8.8,2007,6,25,2
51,51,1,2007-06-21,77,61,69,-1,51,60,0,4,416,1930,RA,0.01,29.36,30.08,3.5,3,10.7,2007,6,25,3
52,52,1,2007-06-22,76,61,69,-1,50,58,0,4,417,1931,RA, 0.00,29.33,30.06,7.8,6,8.7,2007,6,25,4
53,53,1,2007-06-23,67,62,65,-5,58,61,0,0,417,1931,RA BR,0.05,29.23,29.96,7.6,12,9.0,2007,6,25,5
54,54,1,2007-06-24,77,63,70,-1,62,65,0,5,417,1931,BR HZ,0.00,29.26,29.97,7.0,9,8.0,2007,6,25,6
55,55,1,2007-06-25,89,65,77,6,66,70,0,12,417,1931,BR HZ,0.00,29.38,30.07,3.9,14,6.8,2007,6,26,0
56,56,1,2007-06-26,92,70,81,10,69,72,0,16,418,1931,TSRA BR HZ VCTS,0.16,29.39,30.11,6.1,22,7.1,2007,6,26,1
57,57,1,2007-06-27,91,71,81,10,70,72,0,16,418,1931,TSRA,0.15,29.29,30.02,7.5,24,8.8,2007,6,26,2
58,58,1,2007-06-28,74,58,66,-5,55,60,0,1,419,1931, ,0.00,29.41,30.09,11.9,3,12.5,2007,6,26,3
59,59,1,2007-06-29,70,56,63,-8,55,59,2,0,419,1931, ,0.00,29.41,30.13,7.6,2,8.3,2007,6,26,4
60,60,1,2007-06-30,79,54,67,-5,46,56,0,2,419,1931, ,0.00,29.41,30.13,4.9,3,5.8,2007,6,26,5
61,61,1,2007-07-01,75,54,65,-7,52,58,0,0,420,1931, ,0.00,29.51,30.23,8.6,4,8.6,2007,7,26,6
62,62,1,2007-07-02,79,53,66,-6,50,58,0,1,420,1931, ,0.00,29.49,30.22,5.9,14,8.1,2007,7,27,0
63,63,1,2007-07-03,83,60,72,0,57,63,0,7,421,1931,TSRA RA BR,0.40,29.31,30.06,6.7,21,7.3,2007,7,27,1
64,64,1,2007-07-04,86,67,77,5,65,69,0,12,422,1930,TSRA BR HZ FU,0.16,29.18,29.9,4.6,27,8.2,2007,7,27,2
65,65,1,2007-07-05,89,71,80,8,60,67,0,15,422,1930,BR HZ FU,0.00,29.24,29.94,6.4,31,8.1,2007,7,27,3
66,66,1,2007-07-06,86,66,76,4,57,64,0,11,423,1930, ,0.00,29.32,30.03,3.2,5,5.5,2007,7,27,4
67,67,1,2007-07-07,90,64,77,5,63,69,0,12,423,1930, ,0.00,29.18,29.91,8.4,22,8.6,2007,7,27,5
68,68,1,2007-07-08,94,75,85,12,67,72,0,20,424,1929, ,0.00,29.05,29.77,12.9,24,13.1,2007,7,27,6
69,69,1,2007-07-09,94,70,82,9,66,70,0,17,425,1929,TSRA RA VCTS,0.30,29.11,29.8,4.9,24,8.8,2007,7,28,0
70,70,1,2007-07-10,89,69,79,6,67,70,0,14,425,1929,HZ VCTS,0.43,29.06,29.77,8.6,23,10.5,2007,7,28,1
71,71,1,2007-07-11,77,62,70,-3,51,59,0,5,426,1928, ,0.00,29.23,29.93,8.8,30,10.9,2007,7,28,2
72,72,1,2007-07-12,80,61,71,-2,51,59,0,6,427,1928, ,0.00,29.22,29.93,9.4,29,11.1,2007,7,28,3
73,73,1,2007-07-13,78,58,68,-5,52,58,0,3,428,1927, ,0.00,29.26,29.98,1.4,1,5.3,2007,7,28,4
74,74,1,2007-07-14,84,61,73,0,55,62,0,8,428,1927, ,0.00,29.08,29.79,8.3,26,13.2,2007,7,28,5
75,75,1,2007-07-15,82,60,71,-3,53,61,0,6,429,1926, ,0.00,29.19,29.89,2.1,29,4.9,2007,7,28,6
76,76,1,2007-07-16,82,65,74,0,60,65,0,9,430,1925,RA BR,0.39,29.25,29.96,4.4,24,5.2,2007,7,29,0
77,77,1,2007-07-17,83,68,76,2,66,69,0,11,431,1925,RA BR VCTS,0.11,29.18,29.9,5.2,23,6.5,2007,7,29,1
78,78,1,2007-07-18,85,69,77,3,68,71,0,12,432,1924,TSRA RA BR VCTS,1.55,29.11,29.84,9.1,24,10.1,2007,7,29,2
79,79,1,2007-07-19,83,63,73,-1,63,66,0,8,433,1923,DZ BR,0.16,29.21,29.9,7.0,1,11.9,2007,7,29,3
80,80,1,2007-07-20,75,58,67,-7,53,59,0,2,433,1923, ,0.00,29.44,30.14,8.6,3,9.1,2007,7,29,4
81,81,1,2007-07-21,74,58,66,-8,52,58,0,1,434,1922, ,0.00,29.51,30.22,6.5,3,7.4,2007,7,29,5
82,82,1,2007-07-22,81,58,70,-4,55,61,0,5,435,1921, ,0.00,29.49,30.21,1.7,16,3.3,2007,7,29,6
83,83,1,2007-07-23,83,60,72,-2,55,63,0,7,436,1920, ,0.00,29.37,30.1,3.2,9,4.0,2007,7,30,0
84,84,1,2007-07-24,82,65,74,0,58,64,0,9,437,1919, ,0.00,29.32,30.04,3.1,20,5.2,2007,7,30,1
85,85,1,2007-07-25,85,71,78,4,61,67,0,13,438,1918, , 0.00,29.29,30.0,5.8,25,6.6,2007,7,30,2
86,86,1,2007-07-26,83,66,75,1,65,68,0,10,439,1918,TS TSRA RA BR HZ,0.19,29.19,29.92,7.2,22,9.4,2007,7,30,3
87,87,1,2007-07-27,83,70,77,3,68,70,0,12,440,1917,RA BR HZ,0.17,29.11,29.82,3.0,3,7.9,2007,7,30,4
88,88,1,2007-07-28,80,66,73,-1,65,68,0,8,441,1916,BR HZ,0.00,29.23,29.93,10.0,3,10.2,2007,7,30,5
89,89,1,2007-07-29,85,63,74,0,57,64,0,9,442,1915, ,0.00,29.28,29.99,4.8,5,5.7,2007,7,30,6
90,90,1,2007-07-30,89,62,76,2,55,64,0,11,443,1914, ,0.00,29.33,30.03,3.8,6,4.3,2007,7,31,0
91,91,1,2007-07-31,91,68,80,6,61,68,0,15,444,1913, ,0.00,29.33,30.04,3.3,4,4.9,2007,7,31,1
92,92,1,2007-08-01,92,69,81,8,62,69,0,16,445,1911,HZ,0.00,29.29,30.0,3.5,9,4.1,2007,8,31,2
93,93,1,2007-08-02,91,70,81,8,66,71,0,16,446,1910,HZ,0.00,29.26,29.97,5.5,26,5.9,2007,8,31,3
94,94,1,2007-08-03,90,69,80,7,56,66,0,15,447,1909, ,0.00,29.31,30.02,2.7,3,5.7,2007,8,31,4
95,95,1,2007-08-04,81,64,73,0,58,64,0,8,448,1908,RA,0.03,29.31,30.03,5.7,8,6.1,2007,8,31,5
96,96,1,2007-08-05,88,67,78,5,71,73,0,13,449,1907,TSRA RA BR HZ,1.43,29.08,29.81,5.4,21,9.6,2007,8,31,6
97,97,1,2007-08-06,88,74,81,8,72,74,0,16,450,1906,TSRA RA BR HZ,0.26,29.13,29.83,1.6,10,4.9,2007,8,32,0
98,98,1,2007-08-07,91,72,82,9,73,76,0,17,451,1904,RA BR,1.31,29.06,29.76,6.2,25,9.0,2007,8,32,1
99,99,1,2007-08-08,87,73,80,7,71,73,0,15,452,1903,TSRA RA BR,0.06,29.13,29.83,3.0,3,6.9,2007,8,32,2
100,100,1,2007-08-09,84,72,78,5,71,73,0,13,453,1902,TSRA RA,0.05,29.13,29.84,2.5,29,6.0,2007,8,32,3
101,101,1,2007-08-10,86,70,78,5,68,72,0,13,454,1900,BR,0.00,29.26,29.96,4.5,2,5.9,2007,8,32,4
102,102,1,2007-08-11,89,67,78,5,65,70,0,13,455,1859,BR HZ,0.00,29.31,30.02,3.2,19,3.9,2007,8,32,5
103,103,1,2007-08-12,88,67,78,5,67,71,0,13,456,1858,TSRA,0.29,29.34,30.06,1.7,6,5.4,2007,8,32,6
104,104,1,2007-08-13,81,65,73,0,57,64,0,8,457,1856,BR,0.00,29.39,30.11,6.2,6,6.9,2007,8,33,0
105,105,1,2007-08-14,84,65,75,3,67,70,0,10,458,1855,TS TSRA RA BR,0.41,29.23,29.93,5.9,25,8.0,2007,8,33,1
106,106,1,2007-08-15,80,71,76,4,67,70,0,11,459,1854,TSRA RA BR,0.23,29.17,29.89,3.4,7,5.8,2007,8,33,2
107,107,1,2007-08-16,77,65,71,-1,64,67,0,6,500,1852,BR,0.00,29.28,29.97,3.6,1,5.7,2007,8,33,3
108,108,1,2007-08-17,79,60,70,-2,54,61,0,5,501,1851, ,0.00,29.41,30.1,5.9,32,6.8,2007,8,33,4
109,109,1,2007-08-18,68,59,64,-8,54,58,1,0,502,1849,RA,0.09,29.44,30.16,6.4,12,8.1,2007,8,33,5
110,110,1,2007-08-19,68,62,65,-6,62,64,0,0,503,1848,TS RA BR,1.33,29.24,29.99,6.0,10,7.4,2007,8,33,6
111,111,1,2007-08-20,78,68,73,2,68,69,0,8,504,1846,TSRA RA BR,0.91,29.15,29.87,0.5,12,5.7,2007,8,34,0
112,112,1,2007-08-21,87,69,78,7,70,72,0,13,505,1845,BR HZ, 0.00,29.21,29.91,3.8,18,6.0,2007,8,34,1
113,113,1,2007-08-22,90,69,80,9,71,73,0,15,506,1843,TS TSRA RA,0.37,29.23,29.94,5.3,21,9.5,2007,8,34,2
114,114,1,2007-08-23,87,69,78,7,69,71,0,13,508,1842,TS TSRA RA BR VCTS,2.35,29.15,29.87,9.6,21,11.7,2007,8,34,3
115,115,1,2007-08-24,80,69,75,4,67,69,0,10,509,1840,TSRA RA,0.24,29.11,29.82,5.8,25,7.1,2007,8,34,4
116,116,1,2007-08-25,79,64,72,2,63,66,0,7,510,1839,RA,0.34,29.23,29.93,3.0,36,5.6,2007,8,34,5
117,117,1,2007-08-26,79,60,70,0,55,61,0,5,511,1837, ,0.00,29.38,30.08,3.6,11,5.4,2007,8,34,6
118,118,1,2007-08-27,79,60,70,0,60,64,0,5,512,1835, ,0.00,29.36,30.07,6.5,17,7.4,2007,8,35,0
119,119,1,2007-08-28,91,67,79,9,66,70,0,14,513,1834, ,0.00,29.28,29.99,9.0,20,9.5,2007,8,35,1
120,120,1,2007-08-29,85,68,77,7,65,69,0,12,514,1832, , 0.00,29.34,30.04,5.6,3,8.2,2007,8,35,2
121,121,1,2007-08-30,75,57,66,-4,54,60,0,1,515,1831, ,0.00,29.47,30.18,9.1,2,9.9,2007,8,35,3
122,122,1,2007-08-31,77,57,67,-2,52,59,0,2,516,1829, ,0.00,29.47,30.19,3.9,4,5.2,2007,8,35,4
123,123,1,2007-09-01,81,57,69,1,55,61,0,4,517,1827, ,0.00,29.49,30.22,4.2,11,5.0,2007,9,35,5
124,124,1,2007-09-02,85,61,73,5,57,63,0,8,518,1826, ,0.00,29.41,30.15,4.2,21,5.0,2007,9,35,6
125,125,1,2007-09-03,88,66,77,9,61,67,0,12,519,1824, ,0.00,29.36,30.09,2.0,27,5.8,2007,9,36,0
126,126,1,2007-09-04,89,63,76,8,60,66,0,11,520,1822, ,0.00,29.28,30.0,2.8,22,4.3,2007,9,36,1
127,127,1,2007-09-05,90,66,78,11,63,69,0,13,521,1821,RA, 0.00,29.24,29.96,6.4,19,6.5,2007,9,36,2
128,128,1,2007-09-06,82,73,78,11,67,70,0,13,522,1819,RA HZ,0.18,29.21,29.92,11.9,20,12.1,2007,9,36,3
129,129,1,2007-09-07,84,70,77,10,68,70,0,12,523,1817,TSRA RA BR HZ,0.19,29.15,29.85,10.4,23,13.9,2007,9,36,4
130,130,1,2007-09-08,78,64,71,5,57,63,0,6,524,1815, ,0.00,29.3,30.0,6.0,5,7.2,2007,9,36,5
131,131,1,2007-09-09,80,63,72,6,59,63,0,7,525,1814, ,0.00,29.36,30.06,9.2,3,9.9,2007,9,36,6
132,132,1,2007-09-10,74,54,64,-2,58,60,1,0,526,1812,RA BR,0.36,29.3,30.04,7.2,2,9.0,2007,9,37,0
133,133,1,2007-09-11,71,50,61,-4,44,52,4,0,527,1810, , 0.00,29.2,29.92,11.7,29,13.5,2007,9,37,1
134,134,1,2007-09-12,67,46,57,-8,42,49,8,0,528,1809, ,0.00,29.4,30.12,1.8,3,5.6,2007,9,37,2
135,135,1,2007-09-13,78,50,64,-1,45,54,1,0,529,1807, ,0.00,29.23,29.99,8.3,19,8.5,2007,9,37,3
136,136,1,2007-09-14,66,45,56,-8,39,48,9,0,530,1805, ,0.00,29.36,30.05,12.1,32,13.4,2007,9,37,4
137,137,1,2007-09-15,61,39,50,-14,33,43,15,0,531,1803, ,0.00,29.56,30.28,1.4,33,5.9,2007,9,37,5
138,138,1,2007-09-16,71,44,58,-6,40,49,7,0,532,1800, ,0.00,29.46,30.19,6.8,18,7.4,2007,9,37,6
139,139,1,2007-09-17,80,52,66,2,49,57,0,1,533,1758, ,0.00,29.39,30.12,11.7,17,12.1,2007,9,38,0
140,140,1,2007-09-18,88,63,76,12,58,65,0,11,535,1756, ,0.00,29.34,30.06,12.9,19,13.1,2007,9,38,1
141,141,1,2007-09-19,84,65,75,12,59,65,0,10,536,1755, ,0.00,29.41,30.11,5.0,26,9.7,2007,9,38,2
142,142,1,2007-09-20,78,60,69,7,59,63,0,4,537,1753, ,0.00,29.39,30.12,5.3,7,6.6,2007,9,38,3
143,143,1,2007-09-21,88,64,76,14,59,66,0,11,538,1751,HZ,0.00,29.18,29.9,10.3,21,12.4,2007,9,38,4
144,144,1,2007-09-22,74,51,63,1,43,53,2,0,539,1749, ,0.00,29.42,30.12,2.6,3,6.8,2007,9,38,5
145,145,1,2007-09-23,84,50,67,6,50,58,0,2,540,1748, ,0.00,29.43,30.16,4.6,13,5.3,2007,9,38,6
146,146,1,2007-09-24,90,68,79,18,63,68,0,14,541,1746, ,0.00,29.27,29.99,11.4,19,11.9,2007,9,39,0
147,147,1,2007-09-25,85,63,74,13,65,69,0,9,542,1744,TS RA,0.27,29.23,29.95,7.9,23,10.5,2007,9,39,1
148,148,1,2007-09-26,69,53,61,1,50,55,4,0,543,1742,RA,0.09,29.31,30.03,4.3,1,6.6,2007,9,39,2
149,149,1,2007-09-27,75,49,62,2,49,55,3,0,544,1741,BR, 0.00,29.26,29.97,4.9,24,6.5,2007,9,39,3
150,150,1,2007-09-28,73,53,63,4,46,53,2,0,545,1739, ,0.00,29.47,30.17,2.3,4,7.1,2007,9,39,4
151,151,1,2007-09-29,80,50,65,6,46,55,0,0,546,1737, ,0.00,29.5,30.23,9.5,17,9.8,2007,9,39,5
152,152,1,2007-09-30,83,59,71,12,49,59,0,6,547,1735,TSRA BR,0.14,29.36,30.1,14.4,19,14.6,2007,9,39,6
153,153,1,2007-10-01,69,59,64,6,59,61,1,0,548,1734,RA DZ FG+ BCFG BR,0.29,29.28,30.0,6.1,22,8.1,2007,10,40,0
154,154,1,2007-10-02,78,57,68,10,59,63,0,3,549,1732,RA FG+ MIFG BR,0.09,29.18,29.92,10.8,19,11.1,2007,10,40,1
155,155,1,2007-10-03,74,55,65,8,48,56,0,0,550,1730, ,0.00,29.28,29.98,5.9,26,7.1,2007,10,40,2
156,156,1,2007-10-04,82,51,67,10,56,61,0,2,552,1729,HZ,0.00,29.34,30.04,3.9,17,4.6,2007,10,40,3
157,157,1,2007-10-05,84,62,73,16,65,68,0,8,553,1727,HZ,0.00,29.36,30.08,7.0,17,7.0,2007,10,40,4
158,158,1,2007-10-06,87,69,78,22,67,70,0,13,554,1725, ,0.00,29.33,30.04,6.9,20,7.4,2007,10,40,5
159,159,1,2007-10-07,87,67,77,21,66,70,0,12,555,1724, ,0.00,29.31,30.03,5.2,19,5.9,2007,10,40,6
160,160,1,2007-10-08,87,60,74,18,61,66,0,9,556,1722, ,0.00,29.23,29.93,7.7,24,10.1,2007,10,41,0
161,161,1,2007-10-09,76,49,63,8,44,53,2,0,557,1720, ,0.00,29.21,29.94,11.5,28,12.8,2007,10,41,1
162,162,1,2007-10-10,54,47,51,-4,38,44,14,0,558,1719,RA DZ, 0.00,29.21,29.93,15.1,31,15.5,2007,10,41,2
163,163,1,2007-10-11,54,46,50,-4,39,45,15,0,559,1717, ,0.00,29.28,30.01,11.9,36,12.9,2007,10,41,3
164,164,1,2007-10-12,56,41,49,-5,35,43,16,0,600,1715, ,0.00,29.28,30.02,3.4,35,4.6,2007,10,41,4
165,165,1,2007-10-13,59,40,50,-3,41,47,15,0,602,1714, ,0.00,29.31,30.04,2.7,20,3.5,2007,10,41,5
166,166,1,2007-10-14,61,53,57,4,49,53,8,0,603,1712,RA,0.15,29.34,30.06,5.6,11,6.6,2007,10,41,6
167,167,1,2007-10-15,74,51,63,10,52,57,2,0,604,1711,RA BR,0.07,29.21,29.95,4.1,14,5.6,2007,10,42,0
168,168,1,2007-10-16,67,52,60,8,54,57,5,0,605,1709,RA DZ BR,0.24,29.16,29.88,6.4,21,7.5,2007,10,42,1
169,169,1,2007-10-17,72,47,60,8,53,57,5,0,606,1707,RA HZ,0.04,29.07,29.83,9.3,14,9.8,2007,10,42,2
170,170,1,2007-10-18,78,59,69,18,56,61,0,4,607,1706,RA BR,0.30,28.59,29.34,17.2,19,18.9,2007,10,42,3
171,171,1,2007-10-19,60,52,56,5,48,52,9,0,608,1704,RA BR,0.01,28.75,29.44,16.2,24,16.7,2007,10,42,4
172,172,1,2007-10-20,73,47,60,10,43,52,5,0,610,1703, ,0.00,29.02,29.71,10.9,21,12.0,2007,10,42,5
173,173,1,2007-10-21,80,60,70,20,47,57,0,5,611,1701, ,0.00,29.08,29.78,18.0,20,18.2,2007,10,42,6
174,174,1,2007-10-22,67,46,57,7,47,50,8,0,612,1700,RA DZ BR,0.16,29.26,29.97,5.2,36,9.2,2007,10,43,0
175,175,1,2007-10-23,58,43,51,2,36,44,14,0,613,1658, ,0.00,29.2,29.93,5.2,31,8.2,2007,10,43,1
176,176,1,2007-10-24,55,43,49,0,35,42,16,0,614,1657, ,0.00,29.46,30.16,13.3,2,14.5,2007,10,43,2
177,177,1,2007-10-25,55,45,50,2,39,46,15,0,616,1656,RA, 0.00,29.47,30.2,13.9,6,14.1,2007,10,43,3
178,178,1,2007-10-26,65,53,59,11,48,52,6,0,617,1654,RA BR,0.33,29.31,30.07,6.2,5,6.9,2007,10,43,4
179,179,1,2007-10-27,55,37,46,-2,38,45,19,0,618,1653,RA BR,0.01,29.56,30.25,9.4,32,9.9,2007,10,43,5
180,180,1,2007-10-28,56,34,45,-2,30,39,20,0,619,1651, ,0.00,29.79,30.52,3.4,23,4.2,2007,10,43,6
181,181,1,2007-10-29,61,39,50,3,32,42,15,0,620,1650, ,0.00,29.63,30.4,10.2,22,10.4,2007,10,44,0
182,182,1,2007-10-30,66,41,54,8,38,46,11,0,622,1649, ,0.00,29.43,30.2,12.2,20,12.5,2007,10,44,1
183,183,1,2007-10-31,62,41,52,6,37,46,13,0,623,1647, ,0.00,29.3,30.02,12.2,25,14.3,2007,10,44,2
184,184,1,2008-05-01,74,48,61,8,51,56,4,0,448,1849, ,0.00,28.95,29.67,10.6,16,11.5,2008,5,18,3
185,185,1,2008-05-02,74,51,63,9,55,58,2,0,447,1850,TSRA RA BR,1.28,28.79,29.53,13.8,20,15.1,2008,5,18,4
186,186,1,2008-05-03,56,43,50,-4,41,46,15,0,446,1851,RA, 0.00,29.01,29.69,10.4,25,12.7,2008,5,18,5
187,187,1,2008-05-04,65,38,52,-2,34,45,13,0,444,1852, ,0.00,29.31,30.02,5.6,24,6.3,2008,5,18,6
188,188,1,2008-05-05,75,50,63,8,38,50,2,0,443,1853, ,0.00,29.27,29.99,4.4,26,7.0,2008,5,19,0
189,189,1,2008-05-06,81,46,64,9,44,55,1,0,442,1855, ,0.00,29.16,29.88,6.3,22,7.1,2008,5,19,1
190,190,1,2008-05-07,70,49,60,5,52,56,5,0,441,1856,RA BR,0.76,28.97,29.69,3.5,23,12.3,2008,5,19,2
191,191,1,2008-05-08,59,45,52,-4,35,44,13,0,439,1857, ,0.00,29.08,29.82,12.2,5,12.6,2008,5,19,3
192,192,1,2008-05-09,58,41,50,-6,34,43,15,0,438,1858, ,0.00,29.15,29.85,6.3,3,6.9,2008,5,19,4
193,193,1,2008-05-10,61,38,50,-6,37,45,15,0,437,1859, ,0.00,29.08,29.85,5.9,7,6.3,2008,5,19,5
194,194,1,2008-05-11,58,46,52,-5,43,47,13,0,436,1900,RA BR,0.95,28.85,29.55,14.5,2,17.7,2008,5,19,6
195,195,1,2008-05-12,56,40,48,-9,38,43,17,0,435,1901, ,0.00,29.26,29.96,5.1,7,7.8,2008,5,20,0
196,196,1,2008-05-13,73,40,57,-1,45,51,8,0,434,1902,TSRA RA,0.08,29.2,29.93,15.5,18,15.9,2008,5,20,1
197,197,1,2008-05-14,64,45,55,-3,48,52,10,0,433,1903,DZ BR,0.02,29.19,29.89,2.0,25,9.6,2008,5,20,2
